"id","winner","base_time","add_time","total_time","game_class","opening_class","opening_eco_mod","rating_dif","same_elo_band_flag","same_elo_step_flag","white_elo_band","white_castle_turn_limited","white_castle_before_five","white_castle_before_ten","white_castle_before_fifteen","white_checks_limited_count","white_checks_before_five","white_checks_before_ten","white_checks_before_fifteen","white_loss_before_five","white_loss_before_ten","white_loss_before_fifteen","black_elo_band","black_castle_turn_limited","black_castle_before_five","black_castle_before_ten","black_castle_before_fifteen","black_checks_before_five","black_checks_before_ten","black_checks_before_fifteen","black_checks_limited_count","black_loss_before_five","black_loss_before_ten","black_loss_before_fifteen","player_as_white_fav_opening_class","player_as_white_fav_opening_eco","player_white_total_games_count","player_black_total_games_count"
"0plvCede","black",10,0,10,1,1,190,-492,0,0,2,7,0,1,1,0,0,0,0,1,1,2,5,9,0,1,1,0,0,0,0,1,1,2,"B","B90",1,6
"Z39MKy9u","white",10,0,10,1,3,300,533,0,0,5,NA,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,1,2,"D","D00",6,2
"jijh6p56","white",10,0,10,1,0,40,466,0,0,5,11,0,0,1,0,0,0,0,0,1,1,2,14,0,0,1,0,0,0,0,0,1,1,"D","D00",6,4
"jdBj8Roa","white",30,0,30,2,3,300,533,0,0,5,14,0,0,1,4,1,1,1,1,2,3,2,0,0,0,0,0,0,0,0,1,5,8,"D","D00",6,1
"sk0bDfaf","black",10,0,10,1,1,120,137,0,1,3,13,0,0,1,2,1,1,1,1,2,4,2,15,0,0,1,0,0,0,0,1,2,4,"B","B20",1,3
"mrXqlWNx","white",10,40,63,1,3,337,645,0,0,6,13,0,0,1,0,0,0,0,0,2,2,4,6,0,1,1,0,0,0,0,0,2,2,"E","E10",5,32
"CWYbTNHI","white",10,0,10,1,3,335,720,0,0,6,8,0,1,1,0,0,0,0,0,1,4,4,5,1,1,1,0,0,0,0,0,1,3,"E","E20",2,32
"rI0VLhQY","white",30,40,91,2,4,418,650,0,0,6,5,1,1,1,1,0,0,1,0,1,4,4,5,1,1,1,0,0,0,0,0,1,5,"A","A21",12,32
"zg9PWlJe","white",15,15,42,2,3,374,-302,0,0,2,7,0,1,1,0,0,0,0,1,1,1,4,6,0,1,1,0,0,0,0,1,1,1,"D","D74",3,32
"7f0QNi9T","white",20,30,70,2,1,110,-302,0,0,2,7,0,1,1,1,1,1,1,1,2,4,4,9,0,1,1,0,0,0,0,1,2,4,"D","D74",3,32
"zC6e7gMJ","black",5,60,61,1,2,265,-666,0,0,4,4,1,1,1,0,0,0,0,0,1,2,6,8,0,1,1,0,0,0,0,0,1,2,"B","E32",32,1
"mKINBDbs","white",20,30,54,2,3,395,683,0,0,6,NA,0,0,0,0,0,0,0,0,0,1,4,6,0,1,1,0,0,0,0,0,0,1,"D","D95",1,32
"lh41ycUX","white",5,60,54,1,3,357,819,0,0,6,10,0,1,1,0,0,0,0,0,1,2,4,6,0,1,1,0,0,0,0,0,1,2,"B","A40",41,32
"zA4LDp7x","white",15,0,15,2,3,357,819,0,0,6,13,0,0,1,0,0,0,0,0,1,2,4,5,1,1,1,0,0,0,0,0,1,2,"B","A40",41,32
"oi366K9F","black",30,30,47,2,0,52,-698,0,0,4,8,0,1,1,0,0,0,0,0,1,2,6,6,0,1,1,0,0,1,1,1,1,2,"B","E32",32,4
"38b2nqhy","black",40,10,46,3,4,414,302,0,0,4,6,0,1,1,0,0,0,0,0,1,2,2,8,0,1,1,0,0,0,0,0,1,2,"B","E32",32,3
"2rihDvXg","black",5,60,93,1,1,156,302,0,0,4,9,0,1,1,0,0,0,0,1,2,3,2,NA,0,0,0,0,0,0,0,1,2,3,"B","E32",32,12
"SLEt9dia","white",15,15,24,2,1,117,598,0,0,6,10,0,1,1,2,0,0,1,1,2,4,4,0,0,0,0,0,0,0,0,1,2,4,"B","B15",2,32
"PswagNtC","black",10,30,47,1,1,131,-615,0,0,4,6,0,1,1,0,0,0,0,1,2,3,6,8,0,1,1,0,0,1,1,1,2,2,"B","E32",32,1
"88YVIEu1","black",30,30,77,2,2,211,-698,0,0,4,7,0,1,1,0,0,0,0,1,3,4,6,6,0,1,1,0,0,0,0,1,2,4,"B","E32",32,4
"hkQ1yGzl","white",20,15,29,2,1,117,620,0,0,6,9,0,1,1,1,0,1,1,1,3,4,4,14,0,0,1,0,0,0,0,1,2,4,"B","B20",3,32
"XLf0PF3H","black",10,60,47,1,1,133,302,0,0,4,9,0,1,1,0,0,0,0,1,3,5,2,8,0,1,1,0,1,1,1,1,3,5,"B","E32",32,12
"qxzX97Wb","white",5,60,96,1,1,154,-302,0,0,2,9,0,1,1,1,0,0,1,1,1,3,4,9,0,1,1,0,0,0,0,1,1,3,"B","B01",12,32
